ID;Verse;Verse_text;Dimension1;Dimension2;Dimension3;Dimension4;Dimension5;Dimension6
1;41012014;And when they came , they said to him , “ Teacher , we know that you are truthful and ˻ you do not care what anyone thinks ˼ , ˻ because you do not regard the opinion of people ˼ but teach the way of God in truth . Is it permitted to pay taxes to Caesar or not ? Should we pay or should we not pay ? ”;-0.0845554742783493;0.00227666904335802;-0.0737525238634153;0.0286854453284706;0.0235635966829932;0.00925316941058425
2;40026002;“You know that after two days the Passover takes place, and the Son of Man will be handed over in order to be crucified.”;-0.0889702712002575;-0.00535773399851454;-0.0581955040948632;0.0153987355769293;0.0354129827377693;0.0226541296446955
3;41013028;“ Now learn the parable from the fig tree : Whenever its branch has already become tender and puts forth its leaves , you know that summer is near .;-0.0458086327899144;0.00955314272798176;-0.0517993765454697;0.0728810156108938;0.0169894454008763;0.0132695699526271
4;42012030;For all the nations of the world seek after these things , and your Father knows that you need these things .;-0.0842561007940182;0.00671253324344776;-0.0674868960747928;0.0292043295945993;0.038757071244029;-0.00724480761662363
5;43019010;So Pilate said to him , “ Will you not speak to me ? Do you not know that I have authority to release you , and I have authority to crucify you ? ”;-0.0771920040034425;0.00447110925707041;-0.0844693948046268;0.0176884703319151;-0.016287164095453;-0.00520583394896189
6;40025026;But his master answered and said to him , ‘ Evil and lazy slave ! You knew that I reap where I did not sow and gather from where I did not scatter seed .;-0.0830620488095516;0.0047185061292305;-0.0614541589138341;0.0665325118304076;0.0250020084126615;0.0175848303023724
7;42008053;And they began laughing at him , because they knew that she was dead .;-0.0801813468881104;0.00768590298233995;-0.0511579772232034;0.0350899612972721;0.0180175576466193;-0.0102624944834187
8;41013035;Therefore be on the alert , for you do not know when the master of the house is coming — whether in the evening , or at midnight , or when the rooster crows , or early in the morning —;-0.0782982649860208;0.00138598631207926;-0.0614689749381634;-0.0157741377944137;-0.045319893177938;-0.0375599411522645
9;43008027;( They did not know that he was speaking to them about the Father . );0.183181797668419;-0.0412125399161185;-0.0421628838364273;0.0374051572922164;-0.0198658355962705;-0.0267564366611989
10;41009032;But they did not understand the statement , and they were afraid to ask him .;0.174426490070589;-0.06580188352016;-0.0479776098414962;-0.0517170467004748;-0.0090234034930013;-0.0321351577954127
11;42023034;〚 But Jesus said , “ Father , forgive them , for they do not know what they are doing . ” 〛 And they cast lots to divide his clothes .;-0.0466231297362878;-0.0325339361075385;-0.0663320508501113;-0.00687301345766158;-0.0624274827520688;-0.0335407176898274
12;41001024;saying , “ ˻ Leave us alone ˼ , Jesus the Nazarene ! Have you come to destroy us ? I know who you are — the Holy One of God ! ”;-0.0888191573965344;-0.0375001061955307;0.0209653911340813;-0.0053851311728629;0.0523033107583008;0.00592381405569761
13;43015015;No longer do I call you slaves , because the slave does not know what his master is doing . But I have called you friends , because everything that I have heard from my Father I have revealed to you .;-0.0690845549077889;0.00198122569220406;-0.0588451836795965;0.0014208032527178;-0.0724050623639901;-0.0257111564131639
14;43006006;( Now he said this to test him , because he knew what he was going to do . );-0.0810461285996406;-0.00499372908749891;-0.0628845828256171;0.0186642624954252;0.0360103114855272;-0.00394300565312543
15;41001034;And he healed many ˻ who were sick ˼ with various diseases and expelled many demons . And he did not permit the demons to speak , because they knew him .;-0.084771288011956;-0.0359025427498331;0.0398444106353402;0.0179648067602876;0.04571543868974;-0.00940836820711711
16;43001048;Nathanael said to him , “ From where do you know me ? ” Jesus answered and said to him , “ Before Philip called you , when you were under the fig tree , I saw you . ”;-0.0537215518847524;-0.0520844590465111;0.0781930004729555;-0.0113181428104528;0.0221734810855163;0.0116090501557794
17;41014071;And he began to curse and to swear with an oath , “ I do not know this man whom you are talking about ! ”;-0.076115492103046;-0.05257478631131;0.0838392860688175;-0.0528295521719577;-0.0288257181743177;-0.0379656380012938
18;43007029;I know him , because I am from him and he sent me . ”;-0.0661130592228721;-0.0601610407371696;0.0771787125378269;-0.0134259963514415;0.0352067461984866;-0.00335972287290091
19;44019015;But the evil spirit answered and said to them , “ Jesus I know , and Paul I am acquainted with , but who are you ? ”;-0.0634389582185127;-0.043045786663455;0.0651594558594722;-0.0240415145578563;0.0370944187290354;0.000881081819667354
20;44019015b;But the evil spirit answered and said to them , “ Jesus I know , and Paul I am acquainted with , but who are you ? ”;-0.0770578603131237;-0.0352816164601037;0.0291271846326505;-0.0105587622172744;0.0402501421428463;0.02646487888192
21;44007018;until another king arose over Egypt who did not know Joseph .;-0.0761323865565002;-0.0338241096180643;0.0329852522406131;-0.0374297487743117;-0.0349082483432417;-0.0375179713219478
22;43014004;And you know the way where I am going . ”;-0.100898329921339;-0.0545509325696166;-0.00048971644257196;-0.00547109877441467;0.0437162535642789;0.00812178810345897
23;43010004;Whenever he sends out all his own , he goes before them , and the sheep follow him because they know his voice .;-0.0241255248582469;-0.0404395421296299;0.0933030902650627;-0.02106448564077;0.0473866017868272;0.0154590641188001
24;43004032;But he said to them , “ I have food to eat that you do not know about . ”;-0.0863326456719715;-0.0439496822243297;-0.00466568001872671;-0.0334031868402547;-0.0331445163691164;-0.0323375311254238
25;41010019;You know the commandments : ‘ Do not murder , do not commit adultery , do not steal , do not give false testimony , do not defraud , honor your father and mother . ’ ”;-0.0878898994943505;-0.0302666781971084;-0.0399080870382334;0.00247301467660282;0.0408009225681262;0.0127871850747965
